Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|668625|Kendalwood Montessori|Elementary|45|40|||45|40
2018-2019|665767|Kendelhurst Academy|Elementary|70|50|||70|50
2018-2019|876569|Kenilworth Krest Parochial School|Elementary|15|10|||15|10
2018-2019|663654|Kenjgewin Teg|Secondary|||<10|10|SP|10
2018-2019|666491|Kennedy Montessori Private School|Elementary|<10|10|||SP|10
2018-2019|666114|Kent International Academy|Secondary||||<10||SP
2018-2019|667656|Kent School|Secondary|||55|25|55|25
2018-2019|878863|Kew Park Montessori Day School|Elementary|50|40|||50|40
2018-2019|888468|Keystone International Schools|Secondary|||15|<10|15|SP
2018-2019|882370|Keystone Montessori School|Elementary|20|<10|||20|SP
2018-2019|665365|Khairul Ummah School|Elem/Sec|120|175||50|120|225
2018-2019|877352|Khalsa Community School|Elem/Sec|525|470|40|40|565|515
2018-2019|666932|Khalsa School Malton|Elem/Sec|175|145|||175|145
2018-2019|877581|KinderKollege Elementary School|Elementary|<10|<10|||SP|SP
2018-2019|885630|King Christian School|Elementary|55|60|||55|60
2018-2019|889823|King Heights Academy - Thornhill|Elementary|55|45|||55|45
2018-2019|667767|King's Academy|Secondary|||<10|<10|SP|SP
2018-2019|889241|King's Academy|Elementary|<10|<10|||SP|SP
2018-2019|665398|King's Christian Collegiate|Secondary|||340|325|340|325
2018-2019|669248|King's College Preparatory School Canada|Elementary|<10|<10|||SP|SP
2018-2019|876577|King's College School for Bright and Gif|Elem/Sec|10|10|15|15|25|25
2018-2019|884720|King's Town Private School|Elementary|35|45|||35|45
2018-2019|881511|Kingsley Primary School|Elementary|<10|15|||SP|15
2018-2019|885657|Kingston Christian School|Elementary|55|40|||55|40
2018-2019|666341|Kingsway Academy|Secondary|||<10|<10|SP|SP
2018-2019|885959|Kingsway College Private High School|Secondary|||120|150|120|150
2018-2019|884812|Kingsway College School|Elementary|205|175|||205|175
2018-2019|669857|Kisomo International Collegiate|Elem/Sec|<10||25|25|SP|25
2018-2019|887676|Kitchener Waterloo Bilingual School|Elementary|165|195|||165|195
2018-2019|881708|Kleinburg Christian School|Elementary|70|55|||70|55
2018-2019|886945|Knowledge Catalyst Education of Excellen|Secondary|||10|<10|10|SP
2018-2019|667863|Knox Bridge School|Secondary|||15|<10|15|SP
2018-2019|885177|Knox Christian School|Elementary|105|85|||105|85
2018-2019|876763|Koinonia Christian Academy|Elementary|55|45|||55|45
2018-2019|665452|La Citadelle International Academy|Elem/Sec|50|65|20|20|70|85
2018-2019|884134|La Maison Montessori House|Elementary|25|25|||25|25
2018-2019|667731|La Salette Courtland Old Colony Christia|Elementary|50|50|||50|50
2018-2019|887609|Lakedale Amish Parochial|Elementary|10|20|||10|20
2018-2019|885371|Lakefield College School|Secondary|||170|180|170|180
2018-2019|878359|Lakelet Parochial School|Elementary|10|<10|||10|SP
2018-2019|880729|Lakeshore School|Elementary|35|25|||35|25
2018-2019|669546|Lakeside Parochial School|Elementary|<10|10|||SP|10
2018-2019|887889|Lakeview Christian School|Elem/Sec|15|10|<10|<10|SP|SP
2018-2019|880256|Lakeview Montessori School|Elementary|90|60|||90|60
2018-2019|666076|Langside Parochial|Elementary|15|<10|||15|SP
2018-2019|885783|Laureate International College|Secondary|||<10|<10|SP|SP
2018-2019|887897|Laurentian Hills Christian School|Elementary|180|185|||180|185
2018-2019|889281|Le Cercle des savoirs|Elem/Sec|<10|<10|<10|15|15|SP
2018-2019|880502|Leahurst College|Elem/Sec|25|35|20|40|45|70
2018-2019|885331|Learning Genius Academy Inc|Secondary|||30|15|30|15
2018-2019|878332|Lee Academy Private Elementary School|Elementary|70|90|||70|90
2018-2019|668869|Legends Learning Center|Secondary|||<10|<10|SP|SP
2018-2019|876860|Lennox & Addington Cornerstone Christian|Elementary|15|30|||15|30
2018-2019|886769|Leo Baeck Day School, The|Elementary|365|300|||365|300
2018-2019|882909|Leonardo Da Vinci Academy of Arts and|Elementary|30|45|||30|45
2018-2019|669348|Leslie Academy|Secondary|||<10||SP|
2018-2019|884663|Liberal High School|Secondary|||<10|<10|SP|SP
2018-2019|666744|Liberty Prep School|Elementary|15|25|||15|25
2018-2019|881789|Lighthouse Christian School|Elem/Sec|15|20|<10|<10|SP|SP
2018-2019|877158|Lilac Grove School|Elementary|<10|10|||SP|10
2018-2019|883704|Linbrook School|Elementary|170||||170|
2018-2019|886947|Lindale Parochial School|Elementary|25|<10|||25|SP
2018-2019|876186|Linden School, The|Elem/Sec||75||35||110
2018-2019|665758|Link On Learning|Elementary|75|100|||75|100
2018-2019|888923|Listowel Christian School|Elementary|80|55|||80|55
2018-2019|665757|Little Country School, The|Elementary|<10|<10|||SP|SP
2018-2019|889201|Little Owl Preschool Elementary|Elementary|25|20|||25|20
2018-2019|669606|Living Gospel Mission School|Elementary|25|25|||25|25
2018-2019|885596|Living Hope Christian School|Elem/Sec|<10|<10||<10|SP|10
2018-2019|883879|Living Hope Christian School|Elem/Sec|15|35|||15|35
2018-2019|883156|Lodestar Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|669329|Lolart School|Secondary|||<10|10|SP|10
2018-2019|887684|London Christian Academy|Elementary|95|100|||95|100
2018-2019|885746|London Christian Elementary School|Elementary|85|75|||85|75
2018-2019|885738|London Christian High|Secondary|||115|95|115|95
2018-2019|887404|London Community Hebrew Day School|Elementary|25|20|||25|20
2018-2019|666947|London International Academy|Secondary|||180|95|180|95
2018-2019|877557|London Islamic School|Elementary|110|130|||110|130
2018-2019|881120|London Waldorf School|Elementary|70|65|||70|65
2018-2019|885067|Lote tree Foundation|Elementary|50|40|||50|40
2018-2019|883339|Lowell Academy|Secondary|||20|10|20|10
2018-2019|666858|Lutherwood Parochial School|Elementary|20|15|||20|15
2018-2019|888117|Lycée Claudel|Elem/Sec|340|330|140|130|480|460
2018-2019|663573|Lydia Lois Beardy Memorial|Elem/Sec|||<10|15|SP|15
2018-2019|668587|Lynden School|Secondary|||<10|<10|SP|SP
2018-2019|668419|Lynedoch Christian School|Elem/Sec|15|20|<10|<10|SP|SP
2018-2019|667127|Lynn-Rose College|Elem/Sec|40|35|20|10|60|45
2018-2019|878014|Lynn-Rose Heights Private School - Elem|Elementary|120|95|||120|95
2018-2019|668747|Lyonsgate Montessori School|Elementary|25|25|||25|25
2018-2019|880155|MAC Al-Furqan School|Elementary|15|10|||15|10
2018-2019|665027|MAC Maple Grove School|Elementary|105|110|||105|110
2018-2019|669650|MAC Niagara Islamic School|Elementary|45|60|||45|60
2018-2019|881090|Mabin School, The|Elementary|90|60|||90|60
2018-2019|885144|MacKenzie Academy|Secondary|||<10||SP|
2018-2019|881298|MacLachlan College|Elem/Sec|125|115|50|35|175|150
2018-2019|875341|Macdonald-Cartier Academy|Elementary|15|40|||15|40
2018-2019|887722|Macton Parochial School|Elementary|15|20|||15|20
2018-2019|668301|Madaniyya Academy|Elementary|65|70|||65|70
2018-2019|667977|Madina Academy|Secondary|||<10|10|SP|10
2018-2019|666544|Madinah Islamic School|Elementary|40|30|||40|30
2018-2019|882911|Madinatul Uloom Academy - Scarborough|Elem/Sec|65||55||115|
2018-2019|666972|Madinatul Uloom Academy Inc|Elementary|65|95|||65|95
2018-2019|877492|Madinatul-Uloom Academy|Elem/Sec||110||90||195
2018-2019|876259|Madresatul Banaat Almuslimaat|Elem/Sec|15|90||55|15|140
2018-2019|668504|Magnificent Minds|Elementary|15|<10|||15|SP
2018-2019|665700|Maingate Islamic Academy|Elementary|90|80|||90|80
2018-2019|669285|Makki Islamic Learning Centre|Elementary|140|170|||140|170
2018-2019|883812|Malvern Montessori School|Elementary|15|<10|||15|SP
2018-2019|667528|Mamawmatawa Holistic Education Centre|Secondary|||10|<10|10|SP
2018-2019|877859|Manor Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|665008|Maple Crest Early School Ltd.|Elementary|20|15|||20|15
2018-2019|885665|Maple Drive Parochial|Elementary|15|20|||15|20
2018-2019|877905|Maple Grove Amish Parochial School|Elementary|10|<10|||10|SP
2018-2019|887730|Maple Grove Parochial|Elementary|20|15|||20|15
2018-2019|665776|Maple Grove Parochial School|Elementary|10|15|||10|15
2018-2019|885156|Maple Lane|Elementary|<10|<10|||SP|SP
2018-2019|888206|Maple Lane Private|Elementary|10|10|||10|10
2018-2019|884710|Maple Leaf Collegiate|Secondary|||30|15|30|15
2018-2019|879177|Maple Leaf International School|Secondary|||70|85|70|85
2018-2019|884375|Maple Leaf Montessori School Inc|Elementary|40|35|||40|35
2018-2019|883140|Maple View Parochial School|Elementary|10|10|||10|10
2018-2019|883498|Mapleton Meadow Parochial School|Elementary|25|15|||25|15
2018-2019|889717|Mapleview|Elem/Sec|15|15|<10||SP|15
2018-2019|883590|Maranatha Christian Academy|Elem/Sec|105|90|60|45|165|130
2018-2019|877646|Maranatha Christian Academy|Elementary|20|30|||20|30
2018-2019|882271|Maranatha Christian Day School|Elem/Sec|30|30|10|<10|40|SP
2018-2019|888338|Maranatha Christian School|Elementary|120|110|||120|110
2018-2019|666556|March Academy Private School|Elementary|15|10|||15|10
2018-2019|666030|Marco Polo Academy|Secondary|||<10||SP|
2018-2019|884740|Maria Montessori School Inc.|Elementary|50|50|||50|50
2018-2019|668779|Marigold Hollow Parochial School|Elementary|15|<10|||15|SP
2018-2019|880032|Mariyah Islamic School|Elementary|<10|10|||SP|10
2018-2019|881380|Markham International College|Secondary|||<10|<10|SP|SP
2018-2019|884125|Markham Waterloo Continuing Education|Secondary|||75||75|
2018-2019|881803|Markville Montessori Private School|Elem/Sec|10|<10|||10|SP
2018-2019|884618|Marlborough Academy|Elem/Sec|<10|<10|<10||SP|SP
2018-2019|876160|Mary, Mother of God School|Elem/Sec|25|25|<10|<10|SP|SP
2018-2019|668870|Maryvale Academy of Ottawa|Elementary|40|35|||40|35
2018-2019|888751|Matawa Education & Care Centre|Secondary|||55|50|55|50
2018-2019|665181|Matrix Academy|Elementary|<10|<10|||SP|SP
2018-2019|885754|Matthews Hall|Elementary|120|95|||120|95
2018-2019|669808|McCanny Secondary School|Secondary|||15|<10|15|SP
2018-2019|876674|McDonald International Academy|Secondary|||105|90|105|90
2018-2019|886037|McDonald International Academy-North Yo|Secondary|||<10|<10|SP|SP
2018-2019|668558|McIntosh Valley|Elementary|<10|<10|||SP|SP
2018-2019|665168|Meadow Cress School|Elementary|<10|<10|||SP|SP
2018-2019|877409|Meadow Green Academy|Elementary|30|30|||30|30
2018-2019|881969|Meadow Green Academy - Lakeshore|Elem/Sec|25|25|<10|<10|SP|SP
2018-2019|668775|Meadow View Private|Elementary|10|<10|||10|SP
2018-2019|884428|Meezan School|Elementary|30|40|||30|40
2018-2019|882291|Mentor College|Elem/Sec|280|210|365|250|645|460
2018-2019|667590|Mentor College Primary Campus|Elementary|155|135|||155|135
2018-2019|668578|Merit College|Secondary|||<10|<10|SP|SP
2018-2019|669447|Merrick Preparatory School|Secondary|||20|<10|20|SP
2018-2019|882521|Mesivta Ohr Temimim Lubavitch|Secondary|||25||25|
2018-2019|877654|Metamorphosis Greek Orthodox School|Elementary|155|140|||155|140
2018-2019|886696|Metro International Secondary Academy|Secondary|||70|60|70|60
2018-2019|884742|Metropolitan Bible Baptist Christian Aca|Elem/Sec|10|<10|<10|<10|SP|15
2018-2019|665539|Metropolitan College|Secondary|||<10|<10|SP|SP
2018-2019|882070|Metropolitan Preparatory Academy|Elem/Sec|<10|<10|145|75|SP|SP
2018-2019|665576|Middlebrook Parochial School|Elementary|20|15|||20|15
2018-2019|663375|Migizi Miigwanan Secondary School|Secondary|||25|15|25|15
2018-2019|663697|Mikinaak Onigaming School|Elem/Sec|||15|15|15|15
2018-2019|887964|Mildenhall School, The|Elementary|50|35|||50|35
2018-2019|886543|Milton Christian School|Elementary|65|65|||65|65
2018-2019|884557|Milton Prep Academy|Secondary|||15|<10|15|SP
2018-2019|666408|MindTech Academic Schools, Inc|Elementary|130|85|||130|85
2018-2019|666635|Mindtech Montessori Schools|Elementary|45|40|||45|40
2018-2019|668579|Mindview Academy|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|665135|Mindware Academy|Elementary|30|15|||30|15
2018-2019|883933|Mindwerx4kids Learning Centre|Elementary|25|<10|||25|SP
2018-2019|875180|Minto Meadow Parochial School|Elementary|20|20|||20|20
2018-2019|665790|Missing Links Academy|Elementary|20|<10|||20|SP
2018-2019|665312|Mississauga Children Montessori, The|Elementary|40|40|||40|40
2018-2019|880647|Mississauga Christian Academy|Elementary|60|85|||60|85
2018-2019|666192|Mississauga Christian French School|Elementary|25|35|||25|35
2018-2019|668852|Mississauga First Nation Adult Education|Secondary|||<10|<10|SP|SP
2018-2019|667051|Mississauga Secondary Academy|Secondary|||35|20|35|20
2018-2019|663719|Mizhakiiwetung Memorial|Elem/Sec|||60|60|60|60
2018-2019|886955|Montcrest School|Elementary|200|135|||200|135
2018-2019|887919|Montessori Academy of London|Elementary|185|155|||185|155
2018-2019|882780|Montessori Country School-Nobleton, The|Elementary|60|50|||60|50
